Numero_de_pontos;Numero_de_cluster;Numero_de_Blobs;Semente;FOB_Algoritmo_Proposto;FOB_Algoritmo_Original;FOB_BeB;Tempo_Algoritmo_Proposto;Tempo_Algoritmo_Original;Tempo_BeB
250.0;2.0;3.0;3206.0;3702.32;4191.85;3702.32;0.21;0.01;0.42
250.0;2.0;4.0;3206.0;1939.99;1978.78;1939.99;0.15;0.0;1.98
250.0;2.0;5.0;3206.0;2932.66;2978.73;2932.66;0.22;0.0;1.48
500.0;2.0;1.0;3206.0;618.54;620.5;617.39;0.37;0.12;1.03
500.0;2.0;2.0;3206.0;1070.17;1070.55;1070.17;0.23;0.01;0.49
500.0;2.0;3.0;3206.0;7203.04;7611.29;NaN;0.82;0.46;32.61
500.0;2.0;4.0;3206.0;3715.31;3715.78;3715.31;0.2;0.0;1.83
500.0;2.0;5.0;3206.0;5724.38;5781.79;5724.38;0.55;0.22;0.6
1000.0;2.0;1.0;3206.0;1304.5;1312.55;1304.93;3.05;0.39;5.65
1000.0;2.0;2.0;3206.0;2026.41;2026.68;2026.41;0.57;0.03;5.76
1000.0;2.0;3.0;3206.0;14157.5;15018.05;NaN;3.41;0.03;98.52
1000.0;2.0;4.0;3206.0;7115.65;7115.83;7115.65;0.66;0.01;107.93
1000.0;2.0;5.0;3206.0;11100.99;11207.21;11100.99;0.51;0.03;104.27
50.0;2.0;1.0;96123.0;75.58;80.76;74.46;0.06;0.0;0.18
50.0;2.0;2.0;96123.0;136.24;137.27;136.24;0.04;0.0;0.32
50.0;2.0;3.0;96123.0;1267.91;1289.93;1267.93;0.08;0.0;0.19
50.0;2.0;4.0;96123.0;2202.93;2204.98;2202.93;0.1;0.0;0.41
50.0;2.0;5.0;96123.0;1873.73;1874.8;1888.46;0.11;0.0;0.43
100.0;2.0;1.0;96123.0;148.24;151.1;148.16;0.16;0.01;0.2
100.0;2.0;2.0;96123.0;231.33;233.71;231.33;0.06;0.0;0.35
100.0;2.0;3.0;96123.0;2567.88;2764.99;2567.88;0.16;0.0;0.72
100.0;2.0;4.0;96123.0;3303.8;3305.16;3303.8;0.13;0.05;0.53
100.0;2.0;5.0;96123.0;3372.51;3383.75;3372.51;0.17;0.04;0.62
250.0;2.0;1.0;96123.0;306.94;321.31;306.94;1.01;0.03;0.31
250.0;2.0;2.0;96123.0;525.15;526.05;525.15;0.28;0.08;0.99
250.0;2.0;3.0;96123.0;6517.51;6947.42;6517.51;0.33;0.01;1.54
250.0;2.0;4.0;96123.0;8030.2;8030.65;11852.21;0.11;0.01;1.84
250.0;2.0;5.0;96123.0;9626.6;9627.59;8379.33;0.26;0.01;2.18
500.0;2.0;1.0;96123.0;672.79;708.97;672.54;23.91;0.15;102.81
500.0;2.0;2.0;96123.0;1080.89;1081.5;1080.89;0.26;0.0;104.4
500.0;2.0;3.0;96123.0;13315.44;13928.71;13315.54;0.56;0.25;5.09
500.0;2.0;4.0;96123.0;15366.07;15366.35;15366.07;0.21;0.01;0.7
500.0;2.0;5.0;96123.0;17820.07;17870.04;17821.03;0.3;0.01;3.98
1000.0;2.0;1.0;96123.0;1362.31;1364.62;1379.01;0.94;0.47;5.14
1000.0;2.0;2.0;96123.0;2070.94;2071.2;2070.94;0.35;0.01;156.06
1000.0;2.0;3.0;96123.0;25924.2;27336.66;25924.2;0.8;0.09;14.14
1000.0;2.0;4.0;96123.0;31025.48;31025.65;31025.48;0.69;0.02;102.72
1000.0;2.0;5.0;96123.0;34455.93;34500.31;NaN;0.66;0.15;59.37
50.0;2.0;1.0;54765.0;63.76;67.79;63.76;0.15;0.1;0.19
50.0;2.0;2.0;54765.0;146.64;148.15;NaN;0.06;0.0;23.57
50.0;2.0;3.0;54765.0;1435.29;1439.22;1280.74;0.09;0.0;0.58
50.0;2.0;4.0;54765.0;813.82;858.27;813.82;0.07;0.0;0.29
50.0;2.0;5.0;54765.0;1136.26;1146.21;1127.68;0.11;0.0;0.2
100.0;2.0;1.0;54765.0;155.37;156.72;155.36;0.53;0.04;0.34
100.0;2.0;2.0;54765.0;230.12;230.74;230.12;0.09;0.0;0.18
100.0;2.0;3.0;54765.0;2796.98;2815.81;2694.2;0.1;0.0;0.85
100.0;2.0;4.0;54765.0;1181.64;1182.72;1181.64;0.11;0.0;0.52
100.0;2.0;5.0;54765.0;2166.43;2175.58;2173.65;0.13;0.0;0.64
250.0;2.0;1.0;54765.0;321.18;348.18;321.17;0.33;0.03;101.04
250.0;2.0;2.0;54765.0;499.28;499.7;499.28;0.25;0.01;0.46
250.0;2.0;3.0;54765.0;6355.34;6408.23;6355.34;0.18;0.01;3.31
250.0;2.0;4.0;54765.0;2976.73;2987.07;2976.73;0.13;0.01;1.12
250.0;2.0;5.0;54765.0;4869.37;4983.14;4869.37;0.23;0.01;1.79
500.0;2.0;1.0;54765.0;716.79;722.57;709.11;0.88;0.17;102.94
500.0;2.0;2.0;54765.0;1013.24;1013.28;1013.24;0.28;0.01;100.48
500.0;2.0;3.0;54765.0;17254.77;17255.9;13081.32;0.67;0.33;103.37
500.0;2.0;4.0;54765.0;5957.94;5988.98;5957.94;0.5;0.31;101.3
500.0;2.0;5.0;54765.0;9889.58;10042.13;9898.07;0.64;0.27;7.07
1000.0;2.0;1.0;54765.0;1364.32;1366.99;1361.1;2.62;0.42;108.75
1000.0;2.0;2.0;54765.0;1895.63;1895.99;1895.63;1.14;0.51;106.31
1000.0;2.0;3.0;54765.0;26231.3;26395.92;26231.3;1.06;0.51;121.91
1000.0;2.0;4.0;54765.0;11498.63;11502.44;11498.63;0.42;0.04;104.56
1000.0;2.0;5.0;54765.0;19780.19;20134.5;19925.27;0.9;0.03;13.72
50.0;2.0;1.0;11746.0;70.65;74.81;70.64;0.11;0.0;22.97
50.0;2.0;2.0;11746.0;200.92;206.97;200.92;0.05;0.0;0.21
50.0;2.0;3.0;11746.0;950.22;955.37;950.22;0.11;0.0;0.43
50.0;2.0;4.0;11746.0;1208.17;1258.51;1208.17;0.2;0.0;0.25
50.0;2.0;5.0;11746.0;1816.87;2284.26;1816.87;0.13;0.0;1.27
100.0;2.0;1.0;11746.0;136.48;159.9;136.48;0.15;0.01;100.32
100.0;2.0;2.0;11746.0;319.21;351.52;319.21;0.17;0.04;74.17
100.0;2.0;3.0;11746.0;2282.74;2508.24;2282.74;0.1;0.0;0.57
100.0;2.0;4.0;11746.0;2006.17;2007.25;2006.17;0.12;0.0;0.39
100.0;2.0;5.0;11746.0;3566.11;3591.51;3566.11;0.15;0.0;0.58
250.0;2.0;1.0;11746.0;282.59;286.63;280.03;0.26;0.03;1.5
250.0;2.0;2.0;11746.0;534.87;536.07;534.87;0.21;0.1;105.25
250.0;2.0;3.0;11746.0;5492.09;5784.82;5492.09;0.18;0.0;1.04
250.0;2.0;4.0;11746.0;5072.24;5079.82;5072.24;0.2;0.0;1.14
250.0;2.0;5.0;11746.0;8350.3;8351.89;8350.3;0.14;0.0;1.03
500.0;2.0;1.0;11746.0;586.54;631.57;586.54;0.69;0.39;1.18
500.0;2.0;2.0;11746.0;1038.58;1056.74;1038.58;0.42;0.0;0.57
500.0;2.0;3.0;11746.0;10800.96;11071.0;10800.96;0.42;0.01;2.38
500.0;2.0;4.0;11746.0;9235.77;9236.2;9235.77;0.19;0.0;2.19
500.0;2.0;5.0;11746.0;16369.74;16408.84;16369.74;0.46;0.07;104.22
1000.0;2.0;1.0;11746.0;1250.97;1263.29;1263.73;4.09;1.3;10.48
1000.0;2.0;2.0;11746.0;1972.36;1975.92;1972.36;0.88;0.42;101.05
1000.0;2.0;3.0;11746.0;22001.02;22293.92;22001.02;1.38;0.84;104.09
1000.0;2.0;4.0;11746.0;19342.89;19343.06;19342.89;0.7;0.02;103.64
1000.0;2.0;5.0;11746.0;31320.58;41633.46;31320.58;1.95;0.87;105.12
50.0;2.0;1.0;87904.0;69.96;77.11;71.09;0.22;0.0;0.23
50.0;2.0;2.0;87904.0;149.69;153.56;149.71;0.1;0.0;0.54
50.0;2.0;3.0;87904.0;1064.51;1070.97;1064.51;0.13;0.0;0.31
50.0;2.0;4.0;87904.0;774.43;780.13;774.43;0.1;0.0;0.45
50.0;2.0;5.0;87904.0;991.69;1025.31;991.69;0.13;0.0;0.33
100.0;2.0;1.0;87904.0;133.86;142.15;133.57;0.25;0.12;0.18
100.0;2.0;2.0;87904.0;248.63;249.98;248.63;0.16;0.0;0.43
100.0;2.0;3.0;87904.0;2205.7;3508.65;2205.7;0.65;0.0;0.59
100.0;2.0;4.0;87904.0;1479.65;1484.26;1483.75;0.13;0.0;0.62
100.0;2.0;5.0;87904.0;1968.89;1984.3;1968.89;0.2;0.0;0.57
250.0;2.0;1.0;87904.0;319.23;326.29;NaN;0.33;0.03;18.04
250.0;2.0;2.0;87904.0;551.14;556.58;551.14;0.14;0.01;1.04
250.0;2.0;3.0;87904.0;5622.11;5638.46;5622.9;0.36;0.11;1.05
